kode_kbli,uraian
26310,Industri Peralatan Telepon dan Faksimili
28250,"Industri Mesin Pengolahan Makanan, Minuman dan"
26320,Industri Peralatan Komunikasi Tanpa Kabel (Wireless) Tembakau
26391,Industri Kartu Cerdas (Smart Card)
28261,"Industri Mesin Jahit, Mesin Cuci, dan Mesin Pengering"
26399,Industri Peralatan Komunikasi Lainnya untuk Keperluan Niaga
26410,"Industri Televisi, Monitor Televisi, dan Displai"
28262,Industri Mesin Tekstil
26420,"Industri Peralatan Perekam, Penerima, dan Pengganda"
28263,Industri Mesin Penyiapan dan Pembuatan Produk Kulit
28291,Industri Mesin Percetakan
26490,Industri Peralatan Audio dan Video Elektronik Lainnya
28292,Industri Mesin Pabrik Kertas
26511,Industri Alat Ukur dan Alat Uji Manual
28299,Industri Mesin Keperluan Khusus Lainnya YTDL
26512,Industri Alat Ukur dan Alat Uji Elektrik
29100,Industri Kendaraan Bermotor Roda Empat atau Lebih
26513,Industri Alat Ukur dan Alat Uji Elektronik
29200,Industri Karoseri Kendaraan Bermotor Roda Empat Atau
26519,"Industri Alat Ukur, Alat Uji, dan Peralatan Navigasi dan Lebih; Industri Trailer dan Semitrailer"
29300,Industri Suku Cadang dan Aksesori Kendaraan Bermotor
26520,Industri Alat Ukur Waktu Roda Empat atau Lebih
26601,"Industri Peralatan Iradiasi, Perlengkapan, dan Sejenisnya"
30111,Industri Kendaraan Air dan Bawah Air Berawak
26602,Industri Peralatan Elektromedik dan Elektroterapi
30112,Industri Bangunan Lepas Pantai Dan Bangunan Terapung
26701,Industri Peralatan Fotografi
30113,Industri Kendaraan Air dan Bawah Air Tanpa Awak
26702,Industri Peralatan Sinematografi
30120,Industri Kapal dan Perahu Untuk Tujuan Wisata atau
26703,Industri Lensa Bukan Kacamata Rekreasi dan Olahraga
26709,Industri Peralatan Fotografi dan Instrumen Optik Bukan
30200,Industri Lokomotif dan Gerbong Kereta
30301,Industri Pesawat Udara Berawak dan Mesin Terkait
26800,Industri Media Magnetik dan Media Optik
30302,Industri Pesawat Udara Tanpa Awak dan Mesin Terkait
27111,Industri Motor Listrik
30303,Industri Wahana Antariksa dan Mesin Terkait
27112,Industri Generator Pembangkit Listrik
30400,Industri Kendaraan Tempur Militer
27113,Industri Pengubah Tegangan/Transformator dan Pengubah
30911,Industri Sepeda Motor Roda Dua dan Tiga
30912,Industri Komponen dan Perlengkapan Sepeda Motor Roda
27120,Industri Peralatan Pengontrol dan Pendistribusian Listrik Dua dan Tiga
27201,Industri Batu Baterai
30921,Industri Sepeda dan Kursi Roda Termasuk Becak
27202,Industri Akumulator Listrik
30922,Industri Perlengkapan Sepeda dan Kursi Roda Termasuk
27203,Industri Baterai Kendaraan Listrik Becak
27310,Industri Kabel Serat Optik
30990,Industri Alat Angkutan Lainnya YTDL
27320,Industri Kabel dan Kawat Listrik dan Elektronik Lainnya
31011,Industri Furnitur Dari Kayu
27330,Industri Perlengkapan Kabel
31012,Industri Furnitur dari Rotan dan Bambu
27401,"Industri Bola Lampu Pijar, Lampu Sorot, dan Lampu"
31021,Industri Furnitur dari Plastik
31022,Industri Furnitur dari Logam
27402,Industri Lampu Gas dan Discharge
31029,Industri Furnitur dari Bahan Lainnya YTDL
27403,Industri Peralatan Penerangan untuk Kendaraan
32111,Industri Permata
27404,Industri Lampu LED
32112,Industri Perhiasan dari Logam Mulia
27409,Industri Peralatan Penerangan Lainnya
32113,Industri Barang Berharga dari Logam Mulia Bukan
